Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Cura (product.metafields.custom.cura),Dettagli prodotto (product.metafields.custom.dettagli_prodotto),Size guide table (product.metafields.custom.size_guide_table),Spedizione (product.metafields.custom.spedizione),Taglia (product.metafields.custom.taglia),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Italia,Price / Italia,Compare At Price / Italia,Included / Internazionale,Price / Internazionale,Compare At Price / Internazionale,Included / Unione europea,Price / Unione europea,Compare At Price / Unione europea,Status,Collection
consumed-hoodie-canvas-usd,Consumed Hoodie Canvas,"Long sleeve cotton jersey hoodie, 320 gsm. Kangaroo patch pocket at waist. Rib knit cuffs and hem. Raw edge at hem, and cuffs. Brim details at hoodie, cuffs and hem. Logo embroidery on patch with raw edges at left sleeve. Stone wash and consumed effect",Untitled Artworks™,Uncategorized,,"b2b, B2B-USD",FALSE,Taglia,XXS,,,,,,,,,,,9999,deny,manual,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,draft,B2B USD
consumed-sweats-canvas-usd,Consumed Sweats Canvas,"Relaxed-fit cotton jersey lounge pants, with front and back panels. Mid-rise. Two-pocket styling. Con- cealed drawstring at elasticized waistband, inside strings. Embroidered logo on patch at front left leg. Stone wash and consumed effect.",Untitled Artworks™,Uncategorized,,"b2b, B2B-USD",FALSE,Taglia,XXS,,,,,,,,,,,9999,deny,manual,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,draft,B2B USD
troop-hoodie-blue-usd,Troop Hoodie Blue,"Long sleeve cotton jersey hoodie, 320 gsm. Kangaroo patch pocket at waist. Rib knit cuffs and hem. Raw edge at hem, and cuffs. Brim details at hoodie, cuffs and hem. Logo embroidery on patch with raw edges at left sleeve. Stone wash and consumed effect ",Untitled Artworks™,Uncategorized,,"b2b, B2B-USD",FALSE,Taglia,XXS,,,,,,,,,,,9999,deny,manual,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,draft,B2B USD
troop-sweats-blue-usd,Troop Sweats Blue,"Relaxed-fit cotton jersey lounge pants, with front and back panels. Mid-rise. Two-pocket styling. Con- cealed drawstring at elasticized waistband, inside strings. Embroidered logo on patch at front left leg. Stone wash and consumed effect.",Untitled Artworks™,Uncategorized,,"b2b, B2B-USD",FALSE,Taglia,XXS,,,,,,,,,,,9999,deny,manual,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,draft,B2B USD
division-hoodie-green-usd,DIVISION Hoodie Green,"Long sleeve cotton jersey hoodie, 320 gsm. Kangaroo patch pocket at waist. Rib knit cuffs and hem. Raw edge at hem, and cuffs. Brim details at hoodie, cuffs and hem. Logo embroidery on patch with raw edges at left sleeve. Stone wash and consumed effect",Untitled Artworks™,Uncategorized,,"b2b, B2B-USD",FALSE,Taglia,XXS,,,,,,,,,,,9999,deny,manual,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,draft,B2B USD
division-sweats-green-usd,Division Sweats Green,"Relaxed-fit cotton jersey lounge pants, with front and back panels. Mid-rise. Two-pocket styling. Con- cealed drawstring at elasticized waistband, inside strings. Embroidered logo on patch at front left leg. Stone wash and consumed effect.",Untitled Artworks™,Uncategorized,,"b2b, B2B-USD",FALSE,Taglia,XXS,,,,,,,,,,,9999,deny,manual,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,draft,B2B USD
maxi-jumper-taupe-usd,Maxi Jumper Taupe,"Long sleeve oversize jumper. Dropped raglan shoulders. Rib knit cuffs, collar and hem.Logo embroidery patch at the left sleeve",Untitled Artworks™,Uncategorized,,"b2b, B2B-USD",FALSE,Taglia,XXS,,,,,,,,,,,9999,deny,manual,275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,draft,B2B USD
maxi-cardigan-black-usd,Maxi Cardigan Black,"Long sleeve V-neck melange cardigan, 3GG weight. Dropped shoulders. Two front patch pocket style. Front button closure.",Untitled Artworks™,Uncategorized,,"b2b, B2B-USD",FALSE,Taglia,XXS,,,,,,,,,,,9999,deny,manual,275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,draft,B2B USD
military-knit-crewneck-black-usd,Military Knit Crewneck Black,"Long sleeve military crewneck, 7 GG weight. Dropped shoulders. Rib knit cuffs, collar and hem. Two front patch pocket style.",Untitled Artworks™,Uncategorized,,"b2b, B2B-USD",FALSE,Taglia,XXS,,,,,,,,,,,9999,deny,manual,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,draft,B2B USD
military-knit-crewneck-green-usd,Military Knit Crewneck Green,"Long sleeve military crewneck, 7 GG weight. Dropped shoulders. Rib knit cuffs, collar and hem. Two front patch pocket style.",Untitled Artworks™,Uncategorized,,"b2b, B2B-USD",FALSE,Taglia,XXS,,,,,,,,,,,9999,deny,manual,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,draft,B2B USD
military-astro-knit-blue-usd,Military Astro Knit Blue,Jumper rib-knitted from 100% cotton. Oversized shape and has a ribbed funnel neck with a metal half-zip that allows it to be layered over a tee. The elbow patches in poly cotton nod to utility.,Untitled Artworks™,Uncategorized,,"b2b, B2B-USD",FALSE,Taglia,XXS,,,,,,,,,,,9999,deny,manual,275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,draft,B2B USD
longsleeve-aetherya-white-usd,Longsleeve Aetherya White,"100% cotton long sleeve. Oversize fit. Distress bruise edges at armhole, hem and collar. Digital print at front, back and sleeves. Stone wash effect. Logo embroidery at the back.",Untitled Artworks™,Uncategorized,,"b2b, B2B-USD",FALSE,Taglia,XXS,,,,,,,,,,,9999,deny,manual,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,draft,B2B USD
longsleeve-blazya-black-usd,Longsleeve Blazya Black,"100% cotton long sleeve. Oversize fit. Distress bruise edges at armhole, hem and collar. Digital print at front, back and sleeves. Stone wash effect. Logo embroidery at the back.",Untitled Artworks™,Uncategorized,,"b2b, B2B-USD",FALSE,Taglia,XXS,,,,,,,,,,,9999,deny,manual,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,draft,B2B USD
longsleeve-magister-black-usd,Longsleeve Magister Black,"100% cotton long sleeve. Oversize fit. Distress bruise edges at armhole, hem and collar. Digital print at front, back and sleeves. Stone wash effect. Logo embroidery at the back.",Untitled Artworks™,Uncategorized,,"b2b, B2B-USD",FALSE,Taglia,XXS,,,,,,,,,,,9999,deny,manual,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,draft,B2B USD
longsleeve-magister-white-usd,Longsleeve Magister White,"100% cotton long sleeve. Oversize fit. Distress bruise edges at armhole, hem and collar. Digital print at front, back and sleeves. Stone wash effect. Logo embroidery at the back.",Untitled Artworks™,Uncategorized,,"b2b, B2B-USD",FALSE,Taglia,XXS,,,,,,,,,,,9999,deny,manual,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,draft,B2B USD
tee-archivum-grey-melange-usd,Tee Archivum Grey Melange,"100% cotton t-shirt. Oversize fit. Short sleeve. Distress bruise edges at armhole, hem and collar. Digital print at front and back. Consumed effect. Logo em- broidery at the back.",Untitled Artworks™,Uncategorized,,"b2b, B2B-USD",FALSE,Taglia,XXS,,,,,,,,,,,9999,deny,manual,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,draft,B2B USD
tee-division-white-usd,Tee Division White,"100% cotton t-shirt. Oversize fit. Short sleeve. Distress bruise edges at armhole, hem and collar. Digital print at front and back. Consumed effect. Logo em- broidery at the back.",Untitled Artworks™,Uncategorized,,"b2b, B2B-USD",FALSE,Taglia,XXS,,,,,,,,,,,9999,deny,manual,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,draft,B2B USD
tee-scriptura-black-usd,Tee Scriptura Black,"100% cotton t-shirt. Oversize fit. Short sleeve. Distress bruise edges at armhole, hem and collar. Digital print at front and back. Consumed effect. Logo em- broidery at the back.",Untitled Artworks™,Uncategorized,,"b2b, B2B-USD",FALSE,Taglia,XXS,,,,,,,,,,,9999,deny,manual,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,draft,B2B USD
tee-gotica-white-usd,Tee Gotica White,"100% cotton t-shirt. Oversize fit. Short sleeve. Distress bruise edges at armhole, hem and collar. Digital print at front and back. Consumed effect. Logo em- broidery at the back.",Untitled Artworks™,Uncategorized,,"b2b, B2B-USD",FALSE,Taglia,XXS,,,,,,,,,,,9999,deny,manual,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,draft,B2B USD
tee-gotica-black-usd,Tee Gotica Black,"100% cotton t-shirt. Oversize fit. Short sleeve. Distress bruise edges at armhole, hem and collar. Digital print at front and back. Consumed effect. Logo em- broidery at the back.",Untitled Artworks™,Uncategorized,,"b2b, B2B-USD",FALSE,Taglia,XXS,,,,,,,,,,,9999,deny,manual,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,draft,B2B USD
tee-untitled-black-usd,TEE UNTITLED Black,"100% cotton t-shirt. Oversize fit. Short sleeve. Distress bruise edges at armhole, hem and collar. Digital print at front. Consumed effect. Logo em- broidery at the back.",Untitled Artworks™,Uncategorized,,"b2b, B2B-USD",FALSE,Taglia,XXS,,,,,,,,,,,9999,deny,manual,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,draft,B2B USD
tee-untitled-canvas-usd,TEE UNTITLED Canvas,"100% cotton t-shirt. Oversize fit. Short sleeve. Distress bruise edges at armhole, hem and collar. Digital print at front. Consumed effect. Logo em- broidery at the back.",Untitled Artworks™,Uncategorized,,"b2b, B2B-USD",FALSE,Taglia,XXS,,,,,,,,,,,9999,deny,manual,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,draft,B2B USD
tee-stonehart-blue-usd,Tee Stonehart Blue,"100% cotton t-shirt. Oversize fit. Short sleeve. Distress bruise edges at armhole, hem and collar. Digital print at front and back. Consumed effect. Logo em- broidery at the back.",Untitled Artworks™,Uncategorized,,"b2b, B2B-USD",FALSE,Taglia,XXS,,,,,,,,,,,9999,deny,manual,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,draft,B2B USD
tee-panel-armour-black-usd,Tee Panel Armour Black,"Crewneck t-shirt. Wide chest. Wide sleeves. Dropped shoulders. Panels at front, back and shoulders. Logo embroidery at the front. Stone wash effect all over.",Untitled Artworks™,Uncategorized,,"b2b, B2B-USD",FALSE,Taglia,XXS,,,,,,,,,,,9999,deny,manual,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,draft,B2B USD
tee-panel-armour-brown-usd,Tee Panel Armour Brown,"Crewneck t-shirt. Wide chest. Wide sleeves. Dropped shoulders. Panels at front, back and shoulders. Logo embroidery at the front. Stone wash effect all over.",Untitled Artworks™,Uncategorized,,"b2b, B2B-USD",FALSE,Taglia,XXS,,,,,,,,,,,9999,deny,manual,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,draft,B2B USD
tee-panel-armour-cream-usd,Tee Panel Armour CREAM,"Crewneck t-shirt. Wide chest. Wide sleeves. Dropped shoulders. Panels at front, back and shoulders. Logo embroidery at the front. Stone wash effect all over.",Untitled Artworks™,Uncategorized,,"b2b, B2B-USD",FALSE,Taglia,XXS,,,,,,,,,,,9999,deny,manual,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,draft,B2B USD
tee-panel-armour-blue-usd,Tee Panel Armour Blue,"Crewneck t-shirt. Wide chest. Wide sleeves. Dropped shoulders. Panels at front, back and shoulders. Logo embroidery at the front. Stone wash effect all over.",Untitled Artworks™,Uncategorized,,"b2b, B2B-USD",FALSE,Taglia,XXS,,,,,,,,,,,9999,deny,manual,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,draft,B2B USD
workwear-jacket-black-usd,Workwear Jacket Black,"Workwear jacket in 100% cotton canvas. Two side pockets. Spread collar. Fully light lined. Concealed zip closure with custom logo puller. Rough ends, bruise details at hem and cuffs. Antique brass metal hardware. Consumed effect. Metallic rivet details.",Untitled Artworks™,Uncategorized,,"b2b, B2B-USD",FALSE,Taglia,XXS,,,,,,,,,,,9999,deny,manual,299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,draft,B2B USD
workwear-jacket-sand-usd,Workwear Jacket Sand,"Workwear jacket in 100% cotton canvas. Two side pockets. Spread collar. Fully light lined. Concealed zip closure with custom logo puller. Rough ends, bruise details at hem and cuffs. Antique brass metal hardware. Consumed effect. Metallic rivet details.",Untitled Artworks™,Uncategorized,,"b2b, B2B-USD",FALSE,Taglia,XXS,,,,,,,,,,,9999,deny,manual,299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,draft,B2B USD
double-knee-black-usd,Double Knee Black,"Workwear pants in 100% cotton canvas. Wide-leg relaxed-fit trousers. Mid-rise. Four-pocket styling: 2 side pockets, 2 back patch pockets. Belt loops at waistband. Zip-fly and button closure. Hammer loop. Patches placed at knee with raw edges and bruise details. Dirty stain spray effect. Metallic rivet details.",Untitled Artworks™,Uncategorized,,"b2b, B2B-USD",FALSE,Taglia,XXS,,,,,,,,,,,9999,deny,manual,209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,draft,B2B USD
double-knee-sand-usd,Double Knee Sand,"Workwear pants in 100% cotton canvas. Wide-leg relaxed-fit trousers. Mid-rise. Four-pocket styling: 2 side pockets, 2 back patch pockets. Belt loops at waistband. Zip-fly and button closure. Hammer loop. Patches placed at knee with raw edges and bruise details. Dirty stain spray effect. Metallic rivet details.",Untitled Artworks™,Uncategorized,,"b2b, B2B-USD",FALSE,Taglia,XXS,,,,,,,,,,,9999,deny,manual,209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,draft,B2B USD
denim-shirt-black-usd,Denim Shirt Black,Denim shirt with all over jacquard graphic.Welt pockets at waist. Two patch pockets at chest. Front closure with custom antique brass metal buttons. Consumed and dirty stain effect.,Untitled Artworks™,Uncategorized,,"b2b, B2B-USD",FALSE,Taglia,XXS,,,,,,,,,,,9999,deny,manual,329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,draft,B2B USD
denim-shirt-blue-usd,Denim Shirt Blue,Denim shirt with all over jacquard graphic.Welt pockets at waist. Two patch pockets at chest. Front closure with custom antique brass metal buttons. Consumed and dirty stain effect.,Untitled Artworks™,Uncategorized,,"b2b, B2B-USD",FALSE,Taglia,XXS,,,,,,,,,,,9999,deny,manual,329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,draft,B2B USD
denim-pants-black-usd,Denim Pants Black,"Denim pants with all over jacquard graphic. Wide-leg re- laxed-fit drill trousers. Mid-rise. Four-pocket styling: 2 side pockets, 2 back patch pockets. Belt loops at waistband. Raw edge at hems. Consumed and dirty stain effect.",Untitled Artworks™,Uncategorized,,"b2b, B2B-USD",FALSE,Taglia,XXS,,,,,,,,,,,9999,deny,manual,309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,draft,B2B USD
denim-pants-blue-usd,Denim Pants Blue,"Denim pants with all over jacquard graphic. Wide-leg re- laxed-fit drill trousers. Mid-rise. Four-pocket styling: 2 side pockets, 2 back patch pockets. Belt loops at waistband. Raw edge at hems. Consumed and dirty stain effect.",Untitled Artworks™,Uncategorized,,"b2b, B2B-USD",FALSE,Taglia,XXS,,,,,,,,,,,9999,deny,manual,309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,draft,B2B USD
firefighter-black-usd,Firefighter Black,"Oversize 6-hook jacket, in waxed cotton and poly cotton inserts. Raglan shoulder. Rounded collar.",Untitled Artworks™,Uncategorized,,"b2b, B2B-USD",FALSE,Taglia,XXS,,,,,,,,,,,9999,deny,manual,399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,draft,B2B USD
aviator-brown-usd,Aviator Brown,"Aviator jacket crafted from high-quality eco-leather, featuring a plush fur-lined collar. The jacket is adorned with patches on the chest and sleeves. Designed with an oversized, relaxed fit.",Untitled Artworks™,Uncategorized,,"b2b, B2B-USD",FALSE,Taglia,XXS,,,,,,,,,,,9999,deny,manual,399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,draft,B2B USD
parachute-jacket-black-usd,Parachute Jacket Black,"Oversize PU leather biker jacket, with long sleeve, one pocket on the front and a lapel collar. Front closure with buttons.",Untitled Artworks™,Uncategorized,,"b2b, B2B-USD",FALSE,Taglia,XXS,,,,,,,,,,,9999,deny,manual,313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,draft,B2B USD
consumed-leather-bomber-jacket-brown-usd,Consumed Leather Bomber Jacket Brown,"Leather jacket with oversize baggy fit. Dropped shoulders. Bal collar. Rib knit elastic band at hem and cuffs. Zip closure with logo puller in antique brass metal color. Two side welt pockets at waist. Fully heavy quilted lining. Leather embossed logo, at the front side chest. Stone wash consumed effect.",Untitled Artworks™,Uncategorized,,"b2b, B2B-USD",FALSE,Taglia,XXS,,,,,,,,,,,9999,deny,manual,909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,draft,B2B USD
consumed-leather-pants-brown-usd,Consumed Leather Pants Brown,"Leather straight relaxed-fit trousers. Mid- rise. Four-pocket styling: 2 side pockets, 2 back welt pock- ets. Belt loops at waistband. Zip-fly and logo metal button closure. Stone wash and consumed effect.",Untitled Artworks™,Uncategorized,,"b2b, B2B-USD",FALSE,Taglia,XXS,,,,,,,,,,,9999,deny,manual,665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,draft,B2B USD
cargo-pants-wide-cream-usd,Cargo Pants Wide CREAM,"Relaxed-fit cotton cargo pants. Mid-rise, button and zip closure, belt loops at waistband, draw- string hems. Logo embroidery on front side leg. Total of ten-pocket styling: 8 flap pockets, 2 side pockets. Stone wash effect.",Untitled Artworks™,Uncategorized,,"b2b, B2B-USD",FALSE,Taglia,XXS,,,,,,,,,,,9999,deny,manual,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,draft,B2B USD
cargo-pants-wide-black-usd,Cargo Pants Wide Black,"Relaxed-fit cotton cargo pants. Mid-rise, button and zip closure, belt loops at waistband, draw- string hems. Logo embroidery on front side leg. Total of ten-pocket styling: 8 flap pockets, 2 side pockets. Stone wash effect.",Untitled Artworks™,Uncategorized,,"b2b, B2B-USD",FALSE,Taglia,XXS,,,,,,,,,,,9999,deny,manual,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,draft,B2B USD
cargo-bomber-black-usd,Cargo Bomber Black,"Bomber style jacket. Wide baggy fit. Eight pocket style: 6 Flap pockets, 2 side welt pockets. Rib knit collar, cuffs, and hem. Fully thick quilted lined. Concealed zip closure. Custom logo zipper puller. Logo embroidered at the front left flap pocket. Stone wash effect.",Untitled Artworks™,Uncategorized,,"b2b, B2B-USD",FALSE,Taglia,XXS,,,,,,,,,,,9999,deny,manual,243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,draft,B2B USD
cargo-bomber-cream-usd,Cargo Bomber CREAM,"Bomber style jacket. Wide baggy fit. Eight pocket style: 6 Flap pockets, 2 side welt pockets. Rib knit collar, cuffs, and hem. Fully thick quilted lined. Concealed zip closure. Custom logo zipper puller. Logo embroidered at the front left flap pocket. Stone wash effect.",Untitled Artworks™,Uncategorized,,"b2b, B2B-USD",FALSE,Taglia,XXS,,,,,,,,,,,9999,deny,manual,243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,draft,B2B USD
